#{"t_start": 1754500590.5256593, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
280.0,2423,2301.852825
85.0,1361,2303.311262
410.0,3359,2307.094275
445.0,3981,2315.495228
30.0,1335,2317.065405
110.0,1715,2319.044647
330.0,2323,2321.815176
440.0,2229,2324.199729
275.0,2753,2327.161295
45.0,1249,2328.435025
385.0,3293,2332.287259
305.0,2653,2335.4328
365.0,3391,2339.139574
430.0,3695,2346.512039
320.0,3151,2350.079579
210.0,2045,2352.372984
520.0,2283,2354.809018
270.0,2473,2357.648684
400.0,3411,2362.010261
220.0,2811,2364.990008
195.0,2187,2377.507056
255.0,2999,2380.67628
285.0,2323,2383.39444
155.0,2023,2385.544665
260.0,2755,2388.22936
110.0,2015,2390.300249
525.0,4679,2395.40174
550.0,2843,2398.78271
245.0,2597,2401.922504
470.0,2915,2405.447778
470.0,3701,2412.497308
570.0,4339,2416.986654
335.0,3011,2420.467659
415.0,3791,2424.577561
435.0,3805,2428.62591
410.0,3370,2432.114158
570.0,3797,2436.238835
545.0,4575,2443.748636
695.0,4667,2448.499141
330.0,3201,2451.759684
660.0,4061,2455.939939
575.0,4287,2460.331894
270.0,3233,2463.737102
345.0,3135,2466.919217
130.0,2003,2469.151938
355.0,2471,2472.094187
470.0,3529,2478.62585
715.0,4435,2483.380298
585.0,4268,2487.787746
820.0,5161,2493.045386
505.0,4895,2516.76434
370.0,3505,2520.153177
545.0,5505,2525.676485
725.0,4169,2529.834373
410.0,4455,2534.800992
305.0,2455,2537.569706
575.0,4439,2545.31863
430.0,3964,2549.49335
605.0,4387,2554.06609
630.0,5071,2559.496022
310.0,3003,2562.590403
120.0,1889,2564.494534
370.0,2901,2567.432086
370.0,2851,2570.677916
360.0,2917,2576.648142
425.0,3505,2580.446905
440.0,3765,2584.560895
570.0,4357,2589.031415
215.0,2131,2590.892069
635.0,3893,2594.624928
60.0,1459,2596.093918
545.0,4247,2600.969988
390.0,3749,2607.740083
285.0,2659,2610.500047
120.0,1937,2612.836645
80.0,1697,2614.888228
230.0,3049,2618.105735
255.0,2477,2620.545679
80.0,1397,2622.002992
730.0,4555,2626.520972
400.0,3593,2645.578317
200.0,1727,2647.25631
805.0,5435,2652.713795
440.0,2965,2655.738272
485.0,2625,2658.381972
915.0,4313,2663.435245
435.0,3059,2666.482094
95.0,1143,2667.625951
90.0,1503,2669.302724
250.0,1827,2674.324179
750.0,3573,2678.236223
280.0,2828,2681.255373
160.0,2397,2683.742604
25.0,1467,2685.180389
475.0,3737,2689.002033
570.0,3105,2692.454046
385.0,2825,2695.62817
80.0,1533,2697.414156
225.0,2023,2699.600781
150.0,1513,2701.256672
235.0,2411,2706.729621
550.0,4479,2711.53704
225.0,2811,2714.558673
530.0,4365,2719.14495
250.0,2869,2722.404346
155.0,2077,2724.640507
85.0,1669,2726.568232
500.0,3819,2730.792466
1075.0,5741,2739.755557
275.0,2713,2742.577726
660.0,3605,2746.257954
545.0,4523,2750.829631
300.0,2539,2753.380711
510.0,3241,2756.84727
320.0,3088,2775.806785
470.0,4337,2779.845149
190.0,2855,2782.921201
325.0,3305,2786.109678
520.0,4483,2790.783975
670.0,3577,2794.867369
360.0,4071,2799.060538
585.0,4968,2807.105423
680.0,5097,2812.672562
600.0,4563,2817.4465
75.0,1581,2818.940233
185.0,2189,2821.310956
290.0,2531,2823.86428
405.0,3367,2827.270085
360.0,3363,2830.875273
265.0,2589,2833.514634
210.0,2053,2838.547114
310.0,3117,2842.022606
280.0,2539,2844.832357
800.0,3915,2848.798525
200.0,1873,2850.827716
205.0,2075,2853.203604
465.0,3759,2857.610406
485.0,4407,2862.105016
570.0,4557,2866.640605
650.0,5107,2874.876448
460.0,4483,2879.344545
280.0,3081,2882.500281
620.0,3439,2886.148035
160.0,2083,2888.150506
600.0,4471,2911.336728
340.0,2807,2914.094687
290.0,2779,2917.002302
250.0,2347,2919.711725
485.0,3811,2923.755807
370.0,2885,2926.649867
325.0,2597,2929.297292
330.0,3293,2932.772967
345.0,2561,2938.587544
250.0,3039,2941.751712
550.0,4506,2946.149747
395.0,2587,2948.667939
550.0,4441,2953.009192
580.0,4171,2957.139175
805.0,5039,2962.466321
440.0,3455,2965.836197
600.0,4919,2972.115116
465.0,4215,2976.200402
690.0,3957,2980.356223
770.0,3973,2987.657315
265.0,2495,2990.077186
250.0,3699,2994.139593
185.0,2337,2996.444404
380.0,2905,2999.387201
325.0,3290,3004.120752
305.0,2639,3006.807344
235.0,2655,3009.667818
385.0,3847,3014.074894
300.0,2451,3016.823381
510.0,3983,3036.857006
85.0,1409,3038.210576
395.0,3195,3041.295757
425.0,3307,3044.842324
415.0,3331,3048.47364
575.0,3853,3052.524958
390.0,2822,3055.373942
450.0,2803,3058.269437
475.0,2761,3061.135168
245.0,2845,3064.167843
295.0,3147,3070.287874
225.0,2139,3072.50127
700.0,3869,3076.421639
125.0,2173,3078.574031
755.0,4115,3082.971347
490.0,4223,3087.409334
450.0,4227,3092.130635
645.0,2929,3095.001368
450.0,3411,3101.515078
425.0,3613,3105.326545
635.0,4407,3109.894456
315.0,2827,3113.137254
645.0,3755,3117.166328
735.0,3638,3120.950721
585.0,4225,3125.298618
605.0,4335,3129.871707
415.0,3159,3136.121147
350.0,3059,3139.19531
740.0,3783,3143.260191
185.0,2317,3145.663443
440.0,3787,3149.744231
455.0,3531,3168.247466
540.0,3947,3172.005352
335.0,3639,3176.187
715.0,4491,3180.861767
465.0,4643,3185.725832
405.0,3831,3189.679595
450.0,3351,3193.272923
600.0,4201,3200.690012
545.0,4749,3205.959751
485.0,4017,3210.630665
315.0,2879,3213.996572
485.0,4369,3218.472227
485.0,3669,3222.420331
425.0,3376,3226.065254
325.0,3723,3233.206581
750.0,4965,3238.129783
640.0,4075,3242.632647
380.0,3251,3246.164537
365.0,2748,3249.015481
1080.0,6147,3255.405759
415.0,3687,3259.45628
410.0,3776,3266.577656
805.0,4691,3271.507814
535.0,4279,3276.355947
365.0,3665,3280.380721
285.0,2839,3283.252204
465.0,4293,3302.814572
365.0,2623,3305.629327
290.0,2041,3307.702051
600.0,4549,3312.20216
570.0,4319,3316.753397
865.0,5777,3322.659029
795.0,5697,3328.377904
460.0,3581,3335.357274
800.0,4531,3339.873648
610.0,3221,3343.213494
460.0,4187,3347.793698
305.0,2923,3350.750558
710.0,4377,3355.009919
575.0,4035,3359.111714
800.0,5047,3367.53207
365.0,3185,3370.752834
490.0,2719,3373.536459
400.0,3373,3377.196048
370.0,3187,3380.502435
345.0,3201,3383.736377
415.0,3293,3386.965604
530.0,2719,3389.815974
710.0,4349,3394.370652
865.0,4847,3402.570438
490.0,3757,3406.606447
220.0,1991,3408.62288
670.0,3619,3412.293028
655.0,4493,3431.655171
555.0,5251,3436.884862
175.0,1831,3438.719097
400.0,3175,3442.022912
245.0,2471,3444.519222
255.0,2623,3447.138056
495.0,3533,3450.724168
775.0,3812,3454.666269
490.0,3809,3458.858907
570.0,5545,3467.361754
715.0,3733,3471.091259
600.0,4453,3475.787503
285.0,3363,3479.077314
775.0,4189,3483.223314
600.0,4573,3487.642885
945.0,7253,3498.355539
225.0,3313,3501.872318
180.0,2125,3504.260833
390.0,3861,3508.29671
495.0,3855,3512.307141
445.0,3753,3516.481254
515.0,4023,3521.146952
600.0,3507,3524.950869
525.0,4103,3532.006861
795.0,4034,3535.986914
